2.476133575426370526e-01,1.153765476625774555e+00
1.107233519093417662e-01,1.060691454703529324e+00
1.081282721703002547e+00,1.762627285540924460e-01
1.002599334731206104e+00,3.811195262303245235e-01
3.665709896068733431e-01,9.443594691848055112e-01
3.033874982597158931e-01,9.827071583764943608e-01
8.928853072816345104e-01,8.605677849248726252e-01
8.205450929508695257e-01,6.671344628140730704e-01
4.982493244614856209e-01,1.074220769978486922e+00
8.025397605447802674e-01,7.483033279987266750e-01
2.575456723209740284e-01,1.212611084921542348e+00
1.979006441945503625e-01,9.957931009406112421e-01
9.520756683604343351e-01,4.393213937205263098e-01
8.604253209176581096e-01,6.349364111979465264e-01
6.806504943624465120e-01,8.310703473135805375e-01
4.484644977950561634e-02,1.000773380797227663e+00
1.116784361673908377e+00,2.159191068126876389e-01
7.426723210519078355e-01,8.533178179825848808e-01
3.937011151192337244e-01,9.209609306901467285e-01
9.394873836713248938e-01,7.028630772038184649e-01
6.191092633270189882e-01,7.860275224701456231e-01
7.802889591287560656e-01,6.739698672873759566e-01
6.114598702706093292e-01,1.034911218300837987e+00
3.186058293878440417e-01,9.743916681189797036e-01
8.756556131950512523e-01,4.830684511623841160e-01
9.035458921985304315e-01,4.297892962944161455e-01
9.329732576902521890e-01,4.791577660967671903e-01
9.117513523740439219e-01,5.143399097584525625e-01
2.420640425270830232e-01,1.008512270155427437e+00
7.139614961220668299e-01,7.209780913896215448e-01
9.934198493765277194e-01,3.550227789350335339e-01
1.028781371718679449e-01,1.009163011045272729e+00
4.378059653180304545e-01,9.826792806350210796e-01
4.654408747973925453e-01,1.002502489927981744e+00
1.005408956398426090e+00,3.192913195603726967e-02
6.414379818958898527e-01,7.753603069222372302e-01
7.717753308431024584e-01,6.437524641896975597e-01
8.154442873024289051e-01,9.213400339426490726e-01
4.001519234379298240e-01,9.874500431319984672e-01
6.607064881400471767e-01,8.176521546920074712e-01
6.284478071079889760e-01,1.019970348424309892e+00
1.110712201005645161e+00,2.481562052940738117e-01
1.033174245987420470e+00,5.286710976862328826e-01
2.790972942927002487e-01,1.015791469928138069e+00
1.146745939495887434e+00,3.521628317365672056e-01
8.975465415659150681e-01,4.883632442833421572e-01
3.339029261941782734e-01,9.436497484965715721e-01
9.360277713439044689e-01,3.537640739539186230e-01
1.119688917278252260e+00,1.376634527053997026e-01
1.043893632477910005e+00,5.401365680138844327e-01
